mc_initial,temperature,humidity,mc_final,drying_time,temp_ave,humidity_ave,mc_decay
17.0,29.6,69.0,15.0,3.17,32.85,62.75,0.631578947
16.5,29.6,69.0,14.5,3.17,32.85,62.75,0.631578947
16.0,29.6,69.0,12.5,3.17,32.85,62.75,1.105263158
16.5,29.6,69.0,13.0,3.17,32.85,62.75,1.105263158
15.0,31.9,67.0,14.0,3.0,33.925,61.75,0.333333333
15.0,31.9,67.0,13.5,3.0,33.925,61.75,0.5
16.0,31.9,67.0,13.5,3.0,33.925,61.75,0.833333333
14.5,31.9,67.0,14.0,3.0,33.925,61.75,0.166666667
14.5,31.9,67.0,13.0,3.0,33.925,61.75,0.5
15.0,31.9,67.0,13.0,3.0,33.925,61.75,0.666666667
17.0,31.9,67.0,13.5,3.0,33.925,61.75,1.166666667
15.5,31.9,67.0,12.5,3.0,33.925,61.75,1.0
15.5,31.9,67.0,13.5,3.0,33.925,61.75,0.666666667
16.0,31.9,67.0,14.0,3.0,33.925,61.75,0.666666667
16.5,31.9,67.0,14.0,3.0,33.925,61.75,0.833333333
15.0,31.9,67.0,13.5,2.83,32.85,63.75,0.529411765
16.0,31.9,67.0,13.5,2.83,32.85,63.75,0.882352941
16.0,31.9,67.0,13.0,2.83,32.85,63.75,1.058823529
15.0,31.9,67.0,13.0,2.83,32.85,63.75,0.705882353
15.5,31.9,67.0,13.0,2.83,32.85,63.75,0.882352941
16.5,31.9,67.0,13.0,2.83,32.85,63.75,1.235294118
17.0,31.9,67.0,13.0,2.83,32.85,63.75,1.411764706
15.0,31.9,67.0,12.5,2.83,32.85,63.75,0.882352941
15.5,31.9,67.0,13.5,2.83,32.85,63.75,0.705882353
15.5,30.6,92.0,12.0,7.0,30.0875,73.25,0.5
15.0,30.6,92.0,12.5,7.0,30.0875,73.25,0.357142857
15.0,30.6,92.0,12.0,7.0,30.0875,73.25,0.428571429
15.5,30.6,92.0,12.5,7.0,30.0875,73.25,0.428571429
15.5,30.6,92.0,12.0,7.0,30.0875,73.25,0.428571429
17.0,30.6,92.0,12.5,7.0,30.0875,73.25,0.642857143
17.0,30.6,92.0,13.0,7.0,30.0875,73.25,0.571428571
16.0,30.6,92.0,12.5,7.0,30.0875,73.25,0.5
16.5,30.6,92.0,12.5,7.0,30.0875,73.25,0.571428571
15.5,29.5,76.0,12.0,7.0,29.725,72.625,0.5
17.0,29.5,76.0,12.0,7.0,29.725,72.625,0.714285714
17.0,29.5,76.0,12.5,7.0,29.725,72.625,0.642857143
15.5,29.5,76.0,12.5,7.0,29.725,72.625,0.428571429
20.0,29.5,76.0,12.0,7.0,29.725,72.625,1.142857143
15.0,29.5,76.0,12.0,7.0,29.725,72.625,0.428571429
16.5,29.5,76.0,12.5,7.0,29.725,72.625,0.571428571
